metabolite_id	metabolite_name	analysis_id	units	PMN_02	PMN_03	PMN_04	PMN_05	PMN_06	PMN_07	PMN_08	PMN_10	PMN_12	PMN_13	PMN_14	PMN_15	PMN_16	PMN_19	PMN_21	PMN_22	PMN_25	PMN_27	PMN_28	PMN_29	PMN_32	PMN_34	PMN_35	PMN_36	PMN_38	PMN_40	PMN_41	PMN_42	PMN_43	PMN_46	PMN_48	PMN_49	PMN_50	PMN_51	PMN_52	PMN_53	PMN_54	PMN_55	PMN_56	PMN_57	PMN_58	PMN_59	PMN_60	PMN_61	PMN_62	PMN_63	PMN_64	PMN_65	PMN_66	PMN_67	PMN_68	PMN_69	PMN_70	PMN_71	PMN_72	PMN_73	PMN_74	PMN_75	PMN_76	PMN_77	PMN_78	PMN_79	PMN_80	PMN_81	PMN_82	PMN_83	PMN_84	PMN_85	PMN_86	PMN_87	PMN_88	PMN_89	PMN_90	PMN_91	PMN_92
ME585715	1,3/ 2,3-Bisphosphoglycerate	AN004046	MS reading	1729310.714	37949866.97	5790131.506	7113556.962	426882.7205	133967.7714	1399848.559	57929.04323	934578.1446	4342435.561	23820.07102	2516314.676	2089735.191	311206.8906	2395949.385	355234.8337	869273.1406	1030133.193	126902.0242	8440963.786	916780.5726	582020.1626	154858.6429	23710.50542	1205279156	314754.4409	4062496.843	64497.51358	1026120.679	571642.3358	227758.2221	5028283.451	371497.853	23211.62377	265305.1513	422152.0367	762748.3068	95663.21384	565619.0357	625706.1993	464457.4066	3778.701378	192766.3069	6891.40259	90885.82587	206351.3006	20738.72701	968205.7063	5578323.729	59037.30717	99456.85413	1071721.976	3155035.696	3392.249677	114836.4197	49255.85301	67078.55596	110921.2461	256690.6042	2497939.264	4751703.362	698068.6301	343860.3842	319970.5044	72096.47025	4157433.419	1567854.6	1172668.072	2375368.234	25698511.65	2438643.012	2005103.349	10083217.9	8171324.821	15697150.3
ME585716	1-Methylhistidine	AN004046	MS reading	53497724.17	175192857.5	75164710.94	81981118.13	45890829.6	96118752.48	47029547	75845080.69	26065165.99	37503762.77	61996923.79	39088543.58	400237842	22813261.16	44422089.74	153052947.1	95560436.54	52901079.01	92970711.05	36875356.89	37063817.48	66862279.8	45090860.91	345466782.7	387283725.7	44718003.59	372191770.6	82277272.31	196007776.4	170476463.7	65996683.58	64563874.87	383596229.8	152852378	190550325.8	207487121.7	67750226.89	165846156.2	30889046.44	239103960.8	26004310.01	500512794.7	35090030.41	38208077.88	64753300.65	116928190.7	306605629.7	54743505.35	74518570.89	111471586.6	808453316.8	79210648.23	74824667.2	109476708.1	112008977	74472685.91	46174317.18	82485492.25	64850135.12	35980812.6	136715311.8	165882775.6	59938165.15	53586720.18	150716014.3	124414265.5	194405576.5	55181747.43	84446872.13	69410787.66	140528423.8	141486983.6	55477600.36	100660512.8	92439817.96
ME585718	2-/3-Phosphoglycerate	AN004046	MS reading	21741729.47	22244180.65	21304611.06	43798996.63	13996773.03	7891997.482	12169769.66	15434192.36	10355117.76	17576859.81	9280180.631	7109456.731	28300568.66	5711009.568	32300406.3	6393222.331	6505926.316	13597414.37	6851198.031	25050126.01	13288267.77	9383418.729	10650318.04	9825431.197	75650339.7	13610116.9	18120823.13	8439556.736	10068784.91	13230549.19	4023586.799	41606597.57	7328148.164	7699408.371	8127620.824	5270912.049	7848646.894	8557952.272	11037040.6	5774388.537	14881897.75	16170040.81	41241102.89	6320001.017	9146275.079	11024710.92	17774288.67	10579775.49	7852182.495	8955219.021	8535543.752	8772410.288	33576166.77	11093462.69	11483152.25	4420363.831	2202881.457	16309185.97	8835056.893	6951401.659	5773751.446	3675640.1	5782527.509	10410847.78	11313539.68	5536252.096	15457905.69	11338593.18	6279627.112	15092525.22	13169455.12	15724976.39	12361212.05	6729274.664	6905517.054
ME585719	2-Hydroxybutyrate	AN004046	MS reading	5370694.109	1559171.745	187134.4777	208251.6813	189102.5377	5825230.496	3925919.248	2439513.333	2325657.042	2083076.552	3917104.116	3901935.336	1855959.665	11691988.21	3174434.806	5719689.632	5882948.182	9642387.349	4761445.521	9074389.143	257285.2029	145834.1907	311654.5463	315578.4582	1653047.691	1531901.18	3145174.779	368266.157	204489.7358	1187568.535	207345.2014	248467.4285	198543.2529	2339272.13	305508.983	2376649.193	1655551.096	248292.4952	258884.4198	247408.9501	164596.0852	1498881.334	3989376.905	7790558.635	3642722.867	4345327.682	236828.677	1198947.393	217882.1087	3373834.621	225112.3497	264701.3967	208398.2912	1242995.739	252282.7231	1110491.439	6355155.229	28185101.68	158560.259	170821.3571	1887084.634	5251303.377	159175.8212	337044.7913	235321.351	132538.2026	76071494.52	255484.8781	1053261.702	2441049.677	1580576.442	145908.4457	4589008.661	2375192.59	2223107.169
ME585720	2-Hydroxyglutarate	AN004046	MS reading	59888300.85	153298896.9	117047650.2	152383499.6	108003284.6	155340088.2	60727876.9	82131904.5	78895910.66	109143469.3	197319120.4	106049886.4	123217185.5	277854616.8	130682672	113537022.9	121302141.4	204622147.8	51313319.85	76644732.87	59683217.15	99398647.27	69482156.99	359211046	65379238.94	100835965.5	45126888.62	237296197.5	100572891.1	92685496.96	87372356.75	99504345.63	88974790.13	146138386.4	184922151.7	134838891.9	189313736.1	128080289.5	123330602.9	117061807	171058119.4	81395816.33	61658864.13	107706381.6	106657664.6	77138606.41	134300184.8	124887739.8	26830354.89	162266037.2	101426192.3	162790024.5	165933311.8	68185242.9	268808277.6	60126359.05	266898040.9	118655007.7	78739130.69	81269452.16	61811091.25	264781380.2	62344351.97	109578252.1	72301160.02	121899239.2	115972295.2	118947869.4	117633978.4	145777353.3	144934354.7	106379391.4	100599592	57166299.48	99614983.11
ME585721	2-Mannosyl-3-phosphoglycerate	AN004046	MS reading	1630522.847	5236828.248	5760611.219	7170008.022	1695695.525	13209184.1	3356065.914	2538667.645	2747153.05	2001525.953	2440060.62	3454336.065	5422560.119	503354.2727	2735116.283	355932.0905	2084323.882	8731935.302	5026925.64	11309578.67	11338509.99	17517271.28	2614252.772	1105612.212	13350823.46	4009001.533	1470538.711	537960.0138	2333115.413	2066118.903	6676182.031	2195345.749	1260329.908	8631895.253	2536996.962	13230549.19	10689668.5	4694801.26	4224809.395	4541227.896	674806.4932	2419543.277	1307986.92	1136824.369	4549043.495	1410204.685	7881275.382	7289085.283	7888676.027	5306648.786	6829372.27	7304856.651	1007805.57	6446704.204	5140223.739	38601278.21	568551381.4	74933298.67	5207213.618	1634646.839	37573858.02	59061521.53	344510403.5	9628216.146	3668659.089	6864276.121	33687247.93	4937667.27	3556028.061	5528960.864	6172044.804	1285885.767	10705518.79	20646940.3	5046744.687
ME585722	2-Methylmaleate	AN004046	MS reading	18809691.7	20433889.92	24692101.38	15459339.61	8362598.206	17492982.56	23958803.95	15733906.99	15365446.03	12378025.51	9798502.256	13039709.67	8610388.184	9148045.984	8047504.347	13080187.67	12299879.99	9470921.29	19511593.1	31336488.8	11761067.27	17026660.65	10720003	739336.6426	24850880.31	6373332.047	29822083.75	7861045.714	16661449.71	19370191.61	7809036.076	20799241.22	8745982.236	18697839.63	11970948.97	13328113.49	10290787.14	4833195.612	13053139.55	8197418.243	3436224.591	8305521.809	10576424.51	5633328.105	11437956.64	6882534.231	11010100.91	9749438.527	7449397.692	17516472.27	5255237.076	13927415.66	9566492.608	13885571.82	2955237.42	11675281.28	16951900.32	17017678.78	21120915.36	9306499.862	20836640.24	20726147.79	8765805.258	10401479.84	17793529.68	23377276.11	32880948.83	11678066.42	9584212.755	17148052.47	25973111.97	15669016.19	24446246.25	14150933.07	13976780.81
ME585729	3-Hydroxymethylglutarate	AN004046	MS reading	7581345.778	11769408.59	5046986.285	5686027.248	8257942.93	9906342.374	9900956.973	5454115.503	11412671.43	7702368.423	6872228.553	7284250.005	20617514.52	13636244.82	8198340.061	8573149.065	6559722.495	9793709.65	7752316.922	8869413.639	5101881.352	11949896.78	7868336.763	12605515.39	6906074.886	8630087.946	6705209.459	14500023.41	11471916.83	10415823.34	13230549.19	11562188.48	6804488.258	11154567.72	8449343.021	7107061.704	4880632.678	36535661.08	9326619.822	3499184.343	5330632.763	6738317.76	16215610.8	15206302.93	9493758.279	4859692.125	7648100.742	16622307.06	7766839.593	21870901.48	580816.7805	5002279.286	8795797.103	8344012.693	11961066.56	5321812.146	19581677.57	11709044.81	7107035.44	440739.5277	7835279.12	13230549.19	4513860.813	7433677.226	8240986.221	8117325.036	16684447.21	6485842.574	8715437.141	9712018.548	9604886.093	9255395.733	8709569.725	5846108.506	8258530.948
ME585730	3-Hydroxypyruvate	AN004046	MS reading	635290.1018	3190237.538	2034924.625	1067662.801	1690391.03	2355520.759	1248435.297	1743277.119	2459068.415	1106540.842	1722215.228	1901472.597	688695.3632	1705233.021	1547868.118	2046337.155	1044713.283	1708095.461	1513367.698	2517123.376	1690713.363	2504847.25	2045652.394	1403063.15	3942460.935	1070823.516	2780454.621	1448670.559	3456526.903	3184508.804	1351582.962	1087099.14	1188122.086	1075081.681	190764.0007	715610.3381	1265453.225	757191.3825	1839393.979	1185736.563	1302760.277	847443.4004	2188151.236	777810.9121	1040133.514	779543.9683	820303.07	1635158.34	2358713.965	1034611.055	491098.2554	1675628.044	2233098.416	1127847.347	1071055.281	1513424.743	378932.698	762964.1461	1897671.284	1100826.677	3187816.288	3253469.957	507046.9984	1398089.761	1635537.163	4336365.552	1372597.026	1838853.802	4186066.87	2840667.366	2713620.205	3251957.719	2582586.976	3560861.271	6044852.851
ME585731	3-Methyl-2-oxovalerate	AN004046	MS reading	154855810.3	47073778.8	162111904.9	39931165.42	86674172.19	144753680.8	142501454.9	59727135.59	21439342.95	78616471.81	107251367.8	118181735.3	57860796.35	289487115.8	93222874.12	102313408.2	89476277.12	185314428.6	116644733.5	154271417.3	28825200	91854370.05	31218850.37	22264521.64	24849417.19	25896480.19	85026650.64	26902466.35	62791667.18	28493329.9	39524299.45	48993797.73	10046491.52	53579058.67	40733506.68	70193603.21	47422028.86	46730268.49	31164986.84	18049565.11	70868042.09	35968264.82	85824731.71	52845598.89	43883014.68	59228205.81	33585503.14	40644555.45	26515829.93	82660886.83	19709812.53	79474786.98	30422547.45	50987822.19	23367916.19	30606680.72	28063527.03	248722707.7	40264732.51	13384021.91	52313672.96	11202389.34	21024633.29	26123131.92	19095253.64	43292008.01	604412269.1	14583240.16	26566153.14	77127701.5	43050682.32	45484803.93	72056659.77	18558083.19	46386201.65
