reference_key	category	full_citation	doi	pmid	pmc	verified_source	where_used	status	notes
Li2023_NatCommun	dataset_primary	Li Y, Hook JS, Ding Q, et al. Neutrophil metabolomics in severe COVID-19 reveal GAPDH as a suppressor of neutrophil extracellular trap formation. Nat Commun. 2023;14:2610.	10.1038/s41467-023-37567-w	37147288	PMC10162006	PubMed/PMC search (2026-06)	Methods/Results metabolic layer; Figures 3-4; Table 1	verified	corrects earlier repo DOI guess; dataset = Metabolomics Workbench ST002477; neutrophils from severe/mild COVID-19 + healthy controls
Chapman2019_FrontImmunol	dataset_primary	Chapman EA, Lyon M, Simpson D, et al. Caught in a Trap? Proteomic Analysis of Neutrophil Extracellular Traps in Rheumatoid Arthritis and Systemic Lupus Erythematosus. Front Immunol. 2019;10:423.	10.3389/fimmu.2019.00423	30915077		PubMed (2026-06)	Methods/Results released-material layer; Figure 5; Table 1	verified	PRIDE PXD011796; NET proteome HC/RA/SLE; full author list to finalise at proof
Thimmappa2022_CellTissueRes	dataset_primary	Yedehalli Thimmappa P, et al. Quantitative phosphoproteomics reveals diverse stimuli activate distinct signaling pathways during neutrophil activation. Cell Tissue Res. 2022;389(2):241-257.	10.1007/s00441-022-03636-7	35622142	PMC9287233	PubMed (2026-06)	Methods/Results signaling layer; article-level (no standalone figure; context in Figure 7 synthesis)	verified	PRIDE PXD029046; high glucose/homocysteine/LPS; full author list to finalise at proof
CerezoWallis2026_Nature	dataset_primary	Cerezo-Wallis D, Rubio-Ponce A, Richter M, et al (Ballesteros I, senior). Architecture of the neutrophil compartment. Nature. 2026;649(8098):1003-1012.	10.1038/s41586-025-09807-0	41339555	PMC12823425	Nature page + PubMed/PMC (2026-06)	Methods/Results cell-state layer; Figure 6; Table 1	verified	NeuMap; primarily mouse with reported human conservation; year/volume/pages verified Nature 2026;649(8098):1003-1012 (online 2025, final issue 2026; DOI retains 2025 stamp); full author list to finalise at proof
Gretton2012_MMD	method	Gretton A, Borgwardt KM, Rasch MJ, Scholkopf B, Smola A. A Kernel Two-Sample Test. J Mach Learn Res. 2012;13:723-773.		 		JMLR open access + search (2026-06)	Methods (kernel MMD state-separation test)	verified	canonical MMD ref; JMLR 13:723-773; open access (no DOI)
SzekelyRizzo2013_energy	method	Szekely GJ, Rizzo ML. Energy statistics: A class of statistics based on distances. J Stat Plan Inference. 2013;143(8):1249-1272.	10.1016/j.jspi.2013.03.018			DOI resolves + search (2026-06)	Methods (energy distance test)	verified	energy distance; JSPI 143(8):1249-1272
BenjaminiHochberg1995_FDR	method	Benjamini Y, Hochberg Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. J R Stat Soc B. 1995;57(1):289-300.	10.1111/j.2517-6161.1995.tb02031.x			DOI resolves to JRSS-B + search (2026-06)	Methods (BH-FDR multiple testing)	verified	FDR; JRSS-B 57(1):289-300
Cliff1993_delta	method	Cliff N. Dominance statistics: Ordinal analyses to answer ordinal questions. Psychol Bull. 1993;114(3):494-509.	10.1037/0033-2909.114.3.494			search + journal (2026-06)	Methods (Cliff's delta effect size)	verified	Cliff's delta; Psychol Bull 114(3):494-509
EfronTibshirani1993_bootstrap	method	Efron B, Tibshirani RJ. An Introduction to the Bootstrap. Chapman & Hall; 1993.				knowledge (canonical)	Methods (bootstrap stability)	candidate	canonical bootstrap reference; optional if BH/MMD already cover resampling
Brinkmann2004_NETs	biological_background	Brinkmann V, Reichard U, Goosmann C, et al. Neutrophil extracellular traps kill bacteria. Science. 2004;303(5663):1532-1535.	10.1126/science.1092385			DOI resolves to Science (2026-06)	Introduction (NET biology)	verified	Science 2004;303(5663):1532-1535
Papayannopoulos2018_NETreview	biological_background	Papayannopoulos V. Neutrophil extracellular traps in immunity and disease. Nat Rev Immunol. 2018;18(2):134-147.	10.1038/nri.2017.105			DOI resolves to Nat Rev Immunol (2026-06)	Introduction/Discussion (NET/release framing)	verified	Nat Rev Immunol 2018;18(2):134-147
NgOstuniHidalgo2019_heterogeneity	biological_background	Ng LG, Ostuni R, Hidalgo A. Heterogeneity of neutrophils. Nat Rev Immunol. 2019;19(4):255-265.	10.1038/s41577-019-0141-8	30816340		PubMed + journal (2026-06)	Introduction (neutrophil states/heterogeneity)	verified	Nat Rev Immunol 2019;19(4):255-265; PMID 30816340
